Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,2028.133244,2931.9871619299993,30,80,0.85,0.12,"1,2,3",0.27348960876464845
1,1875.9120131999998,2742.418941839999," "" "," "" "," "" "," "" "," "" "," "" "
2,1816.0925108,2708.5523249274993," "" "," "" "," "" "," "" "," "" "," "" "
3,1771.6029124000006,2668.8860283375," "" "," "" "," "" "," "" "," "" "," "" "
4,1758.2867780000006,2639.549931575," "" "," "" "," "" "," "" "," "" "," "" "
5,1747.5396324000008,2612.88426186," "" "," "" "," "" "," "" "," "" "," "" "
6,1734.9487988000003,2581.4704010875," "" "," "" "," "" "," "" "," "" "," "" "
7,1706.7389892000003,2534.891227815," "" "," "" "," "" "," "" "," "" "," "" "
8,1691.8378472,2498.558723722501," "" "," "" "," "" "," "" "," "" "," "" "
9,1680.9944468,2474.555799315," "" "," "" "," "" "," "" "," "" "," "" "
10,1671.1609088,2452.97976966," "" "," "" "," "" "," "" "," "" "," "" "
11,1662.6085515999998,2422.4297969075," "" "," "" "," "" "," "" "," "" "," "" "
12,1652.8329867999998,2399.9708408350007," "" "," "" "," "" "," "" "," "" "," "" "
13,1649.2764711999998,2378.5867642450003," "" "," "" "," "" "," "" "," "" "," "" "
14,1641.4361308000005,2349.1897854775007," "" "," "" "," "" "," "" "," "" "," "" "
15,1634.3634204000002,2314.4824292524995," "" "," "" "," "" "," "" "," "" "," "" "
16,1623.048438,2277.805700155," "" "," "" "," "" "," "" "," "" "," "" "
17,1615.02326,2248.0538861049995," "" "," "" "," "" "," "" "," "" "," "" "
18,1610.2108024000001,2221.74788348," "" "," "" "," "" "," "" "," "" "," "" "
19,1605.7828712000003,2209.1008523600003," "" "," "" "," "" "," "" "," "" "," "" "
20,1594.3313676000005,2186.9566972974994," "" "," "" "," "" "," "" "," "" "," "" "
21,1589.8219848000006,2163.4228444050004," "" "," "" "," "" "," "" "," "" "," "" "
22,1584.9349032000005,2139.4346839325003," "" "," "" "," "" "," "" "," "" "," "" "
23,1582.1633944000005,2118.5533766824997," "" "," "" "," "" "," "" "," "" "," "" "
24,1580.2852640000003,2098.362276765," "" "," "" "," "" "," "" "," "" "," "" "
25,1578.798876,2084.83152695," "" "," "" "," "" "," "" "," "" "," "" "
26,1577.4017652,2069.039137592499," "" "," "" "," "" "," "" "," "" "," "" "
27,1572.4300927999998,2058.8874807399993," "" "," "" "," "" "," "" "," "" "," "" "
28,1565.687366,2048.2925819899997," "" "," "" "," "" "," "" "," "" "," "" "
29,1563.0457004,2041.1503542750004," "" "," "" "," "" "," "" "," "" "," "" "
